# z        bx_sc        by_sc        bx_wo_sc        by_wo_sc
3.9870000e+00 5.4472368e+00 5.4434778e+00 2.8423205e+00 2.8435932e+00
3.9977000e+00 5.5927033e+00 5.5885108e+00 2.9294013e+00 2.9308798e+00
4.0091000e+00 5.6605516e+00 5.6561840e+00 2.9797117e+00 2.9809900e+00
4.0205000e+00 5.7105068e+00 5.7056382e+00 2.9925670e+00 2.9939306e+00
4.0319000e+00 5.7677110e+00 5.7630688e+00 2.9830280e+00 2.9844119e+00
4.0427000e+00 5.8230218e+00 5.8184796e+00 2.9560090e+00 2.9573470e+00
4.0541000e+00 5.8641996e+00 5.8597922e+00 2.9154532e+00 2.9166789e+00
4.0655000e+00 5.8639923e+00 5.8599106e+00 2.8586739e+00 2.8598572e+00
4.0768000e+00 5.8246524e+00 5.8207169e+00 2.8022082e+00 2.8032835e+00
4.0876000e+00 5.8334512e+00 5.8291793e+00 2.7846176e+00 2.7857030e+00
4.0990000e+00 5.9839794e+00 5.9793768e+00 2.8335523e+00 2.8347014e+00
4.1104000e+00 6.1530580e+00 6.1479494e+00 2.9127686e+00 2.9141177e+00
4.1218000e+00 6.2291878e+00 6.2236178e+00 2.9620015e+00 2.9634282e+00
4.1332000e+00 6.2744966e+00 6.2687837e+00 2.9769576e+00 2.9784672e+00
4.1440000e+00 6.3264524e+00 6.3208389e+00 2.9716338e+00 2.9731602e+00
4.1553000e+00 6.3896801e+00 6.3840255e+00 2.9507445e+00 2.9521531e+00
4.1667000e+00 6.4432512e+00 6.4374133e+00 2.9157694e+00 2.9168951e+00
4.1781000e+00 6.4602859e+00 6.4550534e+00 2.8673121e+00 2.8686308e+00
4.1889000e+00 6.4310851e+00 6.4258117e+00 2.8144112e+00 2.8153811e+00
4.2003000e+00 6.4127696e+00 6.4080240e+00 2.7858806e+00 2.7867993e+00
4.2117000e+00 6.5297388e+00 6.5247130e+00 2.8124263e+00 2.8134083e+00
4.2231000e+00 6.7086160e+00 6.7029113e+00 2.8770492e+00 2.8784681e+00
4.2339000e+00 6.7938901e+00 6.7873593e+00 2.9240251e+00 2.9252043e+00
4.2453000e+00 6.8370979e+00 6.8304134e+00 2.9398938e+00 2.9414672e+00
4.2566000e+00 6.8874807e+00 6.8806308e+00 2.9373160e+00 2.9385851e+00
4.2680000e+00 6.9513022e+00 6.9445360e+00 2.9205946e+00 2.9218130e+00
4.2794000e+00 7.0134666e+00 7.0067918e+00 2.8918679e+00 2.8934278e+00
4.2902000e+00 7.0469688e+00 7.0405838e+00 2.8541513e+00 2.8553420e+00
4.3016000e+00 7.0297703e+00 7.0236381e+00 2.8067981e+00 2.8078767e+00
4.3130000e+00 6.9958384e+00 6.9901161e+00 2.7710830e+00 2.7721732e+00
4.3244000e+00 7.0762260e+00 7.0702761e+00 2.7794532e+00 2.7805472e+00
4.3352000e+00 7.2482075e+00 7.2415498e+00 2.8261512e+00 2.8273733e+00
4.3465000e+00 7.3587502e+00 7.3516353e+00 2.8702331e+00 2.8715249e+00
4.3579000e+00 7.4013033e+00 7.3940225e+00 2.8883980e+00 2.8897642e+00
4.3693000e+00 7.4456577e+00 7.4382116e+00 2.8876683e+00 2.8890460e+00
4.3801000e+00 7.5044776e+00 7.4971282e+00 2.8745703e+00 2.8759636e+00
4.3915000e+00 7.5729505e+00 7.5655365e+00 2.8530531e+00 2.8543965e+00
4.4029000e+00 7.6226500e+00 7.6150062e+00 2.8201557e+00 2.8215160e+00
4.4143000e+00 7.6212356e+00 7.6139719e+00 2.7796200e+00 2.7808660e+00
4.4257000e+00 7.5803384e+00 7.5733779e+00 2.7432835e+00 2.7445391e+00
4.4365000e+00 7.6171164e+00 7.6101436e+00 2.7380282e+00 2.7388972e+00
4.4478000e+00 7.7872870e+00 7.7798774e+00 2.7713375e+00 2.7723299e+00
4.4592000e+00 7.9168694e+00 7.9091524e+00 2.8100439e+00 2.8111006e+00
4.4706000e+00 7.9622779e+00 7.9542200e+00 2.8283504e+00 2.8294765e+00
4.4814000e+00 7.9966532e+00 7.9885919e+00 2.8296486e+00 2.8311262e+00
4.4928000e+00 8.0507870e+00 8.0421537e+00 2.8212917e+00 2.8224380e+00
4.5042000e+00 8.1186728e+00 8.1101242e+00 2.8054666e+00 2.8066284e+00
4.5156000e+00 8.1831789e+00 8.1745652e+00 2.7840195e+00 2.7851326e+00
4.5264000e+00 8.2269361e+00 8.2186210e+00 2.7613627e+00 2.7624902e+00
4.5378000e+00 8.2567083e+00 8.2485646e+00 2.7411594e+00 2.7422359e+00
4.5492000e+00 8.3038199e+00 8.2956454e+00 2.7328739e+00 2.7339586e+00
4.5605000e+00 8.3857853e+00 8.3773378e+00 2.7381378e+00 2.7392267e+00
4.5713000e+00 8.4638422e+00 8.4551202e+00 2.7443911e+00 2.7455448e+00
4.5827000e+00 8.5308661e+00 8.5220606e+00 2.7445505e+00 2.7457040e+00
4.5941000e+00 8.5888846e+00 8.5798481e+00 2.7389970e+00 2.7401495e+00
4.6055000e+00 8.6432098e+00 8.6341176e+00 2.7316267e+00 2.7327782e+00
4.6169000e+00 8.6970444e+00 8.6878986e+00 2.7241582e+00 2.7253089e+00
4.6277000e+00 8.7486413e+00 8.7394437e+00 2.7173008e+00 2.7183879e+00
4.6391000e+00 8.8040531e+00 8.7942232e+00 2.7107507e+00 2.7119004e+00
4.6505000e+00 8.8609516e+00 8.8510612e+00 2.7048687e+00 2.7059554e+00
4.6619000e+00 8.9179373e+00 8.9085649e+00 2.6990525e+00 2.7001391e+00
4.6726000e+00 8.9722808e+00 8.9628512e+00 2.6939534e+00 2.6951023e+00
4.6840000e+00 9.0310326e+00 9.0209584e+00 2.6886837e+00 2.6898323e+00
4.6954000e+00 9.0893613e+00 9.0798082e+00 2.6834813e+00 2.6846297e+00
4.7068000e+00 9.1486129e+00 9.1384110e+00 2.6786303e+00 2.6793701e+00
4.7176000e+00 9.2048551e+00 9.1944134e+00 2.6737836e+00 2.6749316e+00
4.7290000e+00 9.2644252e+00 9.2540974e+00 2.6689414e+00 2.6700892e+00
4.7404000e+00 9.3243395e+00 9.3137657e+00 2.6641035e+00 2.6652511e+00
4.7518000e+00 9.3842367e+00 9.3735968e+00 2.6596152e+00 2.6607626e+00
4.7626000e+00 9.4416857e+00 9.4311651e+00 2.6551920e+00 2.6562778e+00
4.7740000e+00 9.5020855e+00 9.4919118e+00 2.6510557e+00 2.6522027e+00
4.7853000e+00 9.5636354e+00 9.5527972e+00 2.6465783e+00 2.6477251e+00
4.7967000e+00 9.6249684e+00 9.6140624e+00 2.6425555e+00 2.6436411e+00
4.8081000e+00 9.6864688e+00 9.6754949e+00 2.6383068e+00 2.6394534e+00
4.8189000e+00 9.7452869e+00 9.7342476e+00 2.6341767e+00 2.6353231e+00
4.8303000e+00 9.8077018e+00 9.7965932e+00 2.6297462e+00 2.6308314e+00
4.8417000e+00 9.8704947e+00 9.8593160e+00 2.6246768e+00 2.6257617e+00
4.8531000e+00 9.9329182e+00 9.9216709e+00 2.6186803e+00 2.6198251e+00
4.8639000e+00 9.9887559e+00 9.9776441e+00 2.6117755e+00 2.6128590e+00
